timestamp,attacker_name,tactic,technique,attack_vector,severity,affected_system,ip_address,user_account,region,status,severity_num,attack_vector_num,region_num,hour,day,month,anomaly
2022-10-29 00:08:54.621136,Sarah Craig,Defense Evasion,Spearphishing Attachment,Web,Low,force,154.159.49.161,jessica27,Europe,Failed,1,4,3,0,29,10,-1
2023-05-30 00:54:16.429425,Alexander Burnett,Persistence,Exploitation of Vulnerability,Web,Critical,evidence,40.205.56.120,jgarcia,Australia,Successful,4,4,2,0,30,5,-1
2022-08-22 01:29:45.371063,Karen Moss,Exfiltration,PowerShell,Web,Low,great,184.68.34.68,kyle62,US,Successful,1,4,5,1,22,8,-1
2023-05-01 01:56:20.351843,Brian Oconnell,Persistence,Credential Dumping,Web,Low,none,20.6.0.55,judy21,Australia,Successful,1,4,2,1,1,5,-1
2021-01-31 00:58:07.048700,Karen Thomas,Impact,Taint Shared Content,Web,Low,after,71.36.173.80,davemyers,Africa,Failed,1,4,0,0,31,1,-1
2021-10-27 21:47:42.367299,Pamela Vang,Impact,Spearphishing Attachment,Web,Low,certainly,180.217.220.175,dclayton,US,Successful,1,4,5,21,27,10,-1
2020-09-30 23:03:56.817972,Samantha English,Execution,Ransomware,USB,Low,true,58.152.183.255,owensjacob,Asia,Successful,1,3,1,23,30,9,-1
2021-01-21 00:09:19.620008,Christopher Gray,Execution,Exploitation of Vulnerability,Web,High,work,109.163.104.93,mcintoshsamantha,Asia,Successful,3,4,1,0,21,1,-1
2023-08-09 23:27:31.624349,Rebecca Riley,Exfiltration,Command and Scripting Interpreter,Web,Medium,upon,181.19.106.22,ebennett,Africa,Failed,2,4,0,23,9,8,-1
2021-04-02 21:45:45.881206,Miguel Robbins,Persistence,Command and Scripting Interpreter,Web,Critical,cost,105.74.76.34,gilbertjoshua,Africa,Successful,4,4,0,21,2,4,-1
2022-03-30 11:31:05.589123,Michelle Holland,Privilege Escalation,Taint Shared Content,Phishing,Critical,hundred,21.254.69.154,eestrada,Africa,Successful,4,2,0,11,30,3,-1
2021-09-01 22:18:36.961536,Sandra Mendoza,Privilege Escalation,Network Sniffing,Phishing,Critical,minute,53.227.129.12,emma02,US,Successful,4,2,5,22,1,9,-1
2023-01-16 08:22:31.906914,Grace Jackson,Discovery,Access Token Manipulation,Web,Critical,gun,124.221.16.28,owenjohn,Africa,Successful,4,4,0,8,16,1,-1
2021-01-27 23:34:30.317415,Bridget Malone,Credential Access,Access Token Manipulation,Web,Low,and,1.203.248.95,jefferydavis,Australia,Failed,1,4,2,23,27,1,-1
2021-07-01 12:34:32.038427,Mrs. Crystal Herrera,Initial Access,Spearphishing Attachment,Web,Low,culture,131.103.153.115,rreyes,US,Successful,1,4,5,12,1,7,-1
2023-01-22 02:04:07.716971,Lori Reid,Credential Access,Command and Scripting Interpreter,Web,High,successful,187.249.172.206,vegajeremy,Africa,Successful,3,4,0,2,22,1,-1
2021-11-19 23:03:15.809087,Christine Jones,Lateral Movement,Spearphishing Attachment,Web,High,politics,40.188.205.196,rojaskeith,Africa,Failed,3,4,0,23,19,11,-1
2022-12-31 03:58:56.452150,Gary Nelson,Privilege Escalation,Taint Shared Content,USB,Low,usually,100.160.110.104,christopherstephenson,Australia,Successful,1,3,2,3,31,12,-1
2024-01-03 07:06:42.750005,Deborah Smith,Collection,Access Token Manipulation,USB,High,spend,200.44.146.229,xevans,US,Failed,3,3,5,7,3,1,-1
2024-11-05 20:27:55.621472,Holly Wright,Privilege Escalation,Access Token Manipulation,Email,High,seek,45.137.86.182,taylorrobert,Africa,Successful,3,0,0,20,5,11,-1
2020-01-04 17:37:22.995549,James Blackwell,Initial Access,Credential Dumping,Web,Medium,room,31.52.41.33,waltersamy,US,Successful,2,4,5,17,4,1,-1
2024-02-29 23:44:37.382455,Jordan Miller,Impact,Credential Dumping,Email,High,common,48.166.67.221,amy09,Africa,Successful,3,0,0,23,29,2,-1
2022-02-02 00:14:20.727964,Krista Orr,Exfiltration,PowerShell,Email,High,art,113.60.138.99,jeremy47,US,Failed,3,0,5,0,2,2,-1
2022-11-02 01:59:58.515458,Joshua Smith,Collection,Exploitation of Vulnerability,Network,Low,very,74.20.119.89,lindsaycohen,Africa,Successful,1,1,0,1,2,11,-1
2023-12-28 01:30:01.282015,James Powell,Collection,Credential Dumping,Network,Low,those,217.104.119.37,webermichael,US,Failed,1,1,5,1,28,12,-1
2020-01-31 20:06:20.543396,Justin Baker,Persistence,Taint Shared Content,Email,Critical,clear,114.254.197.39,caitlinstephenson,Africa,Successful,4,0,0,20,31,1,-1
2023-01-02 05:10:29.771426,Matthew Wong,Lateral Movement,Exploitation of Vulnerability,Web,Critical,amount,22.205.42.80,justin84,Europe,Successful,4,4,3,5,2,1,-1
2020-01-30 23:04:31.698087,Mr. Mark Charles,Initial Access,Exploitation of Vulnerability,USB,High,exist,212.213.62.203,buchanantom,Africa,Successful,3,3,0,23,30,1,-1
