timestamp,attacker_name,tactic,technique,attack_vector,severity,affected_system,ip_address,user_account,region,status
2022-06-02 17:25:11.401841,Thomas Jones,Defense Evasion,Command and Scripting Interpreter,USB,High,either,201.79.69.26,wilsoncassandra,US,Successful
2020-12-16 13:57:08.479788,Daniel Brown,Impact,Phishing,Network,Low,compare,140.254.123.252,victoriafoster,Europe,Successful
2024-10-30 22:56:58.005656,David Rivera,Lateral Movement,Access Token Manipulation,Network,High,degree,116.64.174.59,samuelmurphy,Asia,Failed
2021-03-20 03:12:54.720701,Darren Johnson,Execution,Spearphishing Attachment,Email,Low,whom,37.196.198.253,williammayer,Europe,Successful
2021-06-26 05:16:34.908632,John Miller,Exfiltration,Command and Scripting Interpreter,Web,Low,successful,158.105.28.135,michaeljoseph,Europe,Failed
2020-01-30 10:56:50.169807,William Solomon,Collection,Ransomware,Network,Low,foreign,167.200.216.42,charlene99,Asia,Successful
2021-04-19 13:42:58.133439,Monica Stanley,Collection,Taint Shared Content,Network,Medium,cut,45.107.82.199,shepherdrichard,Australia,Successful
2020-10-26 02:48:33.597995,Victoria Juarez,Defense Evasion,Data Encrypted,Phishing,Low,economic,176.127.144.184,jevans,Australia,Successful
2024-05-28 02:35:38.748329,Tanya Anderson,Discovery,Spearphishing Attachment,USB,Critical,front,8.143.139.197,cynthiaparsons,Europe,Successful
2024-06-03 13:16:41.161725,Duane Tyler,Impact,Spearphishing Attachment,Network,Medium,either,86.203.206.104,edward72,South America,Successful
2020-11-07 00:00:13.983135,Edward Evans,Lateral Movement,Data Encrypted,Network,High,role,154.98.245.60,cherylreynolds,Australia,Successful
2022-08-13 16:49:22.521734,April Marks,Persistence,Data Encrypted,Email,Medium,better,178.187.122.0,rebekahcampbell,Asia,Failed
2022-06-21 17:56:12.081166,Emily Daugherty,Impact,Spearphishing Attachment,Network,Critical,within,105.137.127.182,jshaw,Australia,Failed
2024-07-08 11:31:31.628108,Renee Schultz,Persistence,PowerShell,Web,High,road,196.70.107.32,vasquezsteven,Asia,Successful
2023-07-08 12:05:57.945260,Melissa Wallace,Credential Access,Taint Shared Content,USB,Low,partner,56.84.209.248,simsryan,Europe,Failed
2022-10-29 00:08:54.621136,Sarah Craig,Defense Evasion,Spearphishing Attachment,Web,Low,force,154.159.49.161,jessica27,Europe,Failed
2024-01-02 08:04:44.997256,Eric Eaton,Lateral Movement,PowerShell,Web,High,the,156.248.29.5,paul45,Australia,Successful
2022-08-28 12:12:42.099408,Rachel Mcbride,Collection,Network Sniffing,Network,Medium,price,223.201.46.6,corymalone,US,Successful
2023-05-30 00:54:16.429425,Alexander Burnett,Persistence,Exploitation of Vulnerability,Web,Critical,evidence,40.205.56.120,jgarcia,Australia,Successful
2020-08-18 19:03:36.979836,Heidi Howe,Defense Evasion,Command and Scripting Interpreter,Email,High,fine,208.232.13.219,douglas30,South America,Failed
2022-02-19 01:26:27.078896,Katherine Williams,Discovery,Credential Dumping,Network,Critical,establish,88.114.217.18,wilsonmicheal,Europe,Successful
2024-03-17 22:17:00.809296,Gary Stokes,Persistence,Access Token Manipulation,Network,Medium,whose,112.83.160.121,ljames,South America,Successful
