timestamp,attacker_name,tactic,technique,attack_vector,severity,affected_system,ip_address,user_account,region,status,severity_num,attack_vector_num,region_num,hour,day,month,anomaly
2024-06-09 04:20:48,Travis Wagner,Certainly,Data Staged,Wind,Medium,century,55.227.132.177,longchristine,North America,Successful,3,1,2,13,2,3,True
2024-08-05 09:38:22,Brandon Hansen,Deep,Spearphishing Attachment,Outside,Low,benefit,43.102.247.244,bfuller,Europe,Successful,1,2,4,20,5,11,True
2024-10-26 01:43:11,Kenneth Wallace,Whole,Command and Control Over Web Protocol,Great,Low,market,164.116.179.130,natalie94,Asia,Successful,3,4,1,22,17,9,True
2024-04-02 06:08:21,Christina Palmer,Police,Remote File Copy,Again,Medium,Mr,83.243.78.27,jjensen,South America,Failed,2,4,1,22,22,4,False
2024-07-29 23:18:44,Gregory Moreno,Wish,Remote File Copy,Alone,Medium,two,72.226.15.68,coreydavis,North America,Successful,1,2,2,17,3,4,True
2024-06-01 06:28:05,Hector Ford,Use,Remote File Copy,Performance,Low,building,39.145.114.213,ncooke,Asia,Successful,3,2,1,19,11,7,True
2024-10-08 18:45:58,Nicholas Sanchez,West,Remote File Copy,Walk,Medium,can,114.109.62.39,foxmichael,South America,Failed,2,2,2,15,19,1,True
2024-07-19 02:34:46,Theresa Brown,Safe,Spearphishing Attachment,Hour,High,hard,66.178.102.234,ryan55,South America,Failed,1,1,3,1,6,7,False
2024-03-16 05:50:25,Abigail Nguyen,When,Command and Control Over Web Protocol,Daughter,High,house,16.130.78.139,iroach,Europe,Successful,1,4,2,16,28,3,False
2024-08-31 21:32:03,Gregory Chambers,Would,Sudo Caching,Sea,High,many,63.88.94.60,acordova,South America,Successful,2,4,1,5,10,11,False
2024-02-06 14:42:17,Ana Gonzales,Indeed,Sudo Caching,Thought,Medium,place,134.150.0.29,belinda67,Asia,Failed,1,3,3,4,15,9,True
2024-08-19 07:46:01,Jacob Gray,Today,Spearphishing Attachment,Church,Medium,if,79.215.213.116,grahamjoseph,Europe,Failed,1,2,1,17,23,12,False
2024-04-18 17:20:54,Devin French,Our,Brute Force,Trial,Low,free,62.93.74.107,utrujillo,North America,Successful,3,4,4,16,27,6,False
2024-03-03 02:13:47,Kristin Stanton,Arm,Data Staged,Car,High,program,135.163.0.161,dstanley,North America,Successful,3,4,4,14,28,8,False
2024-01-09 14:57:18,Danny Andrews,Case,Brute Force,Benefit,Low,kitchen,99.105.19.175,carol75,Europe,Successful,2,1,3,20,27,4,True
2024-01-30 21:48:20,Paul Mejia,Sort,Sudo Caching,Central,Medium,cause,143.247.210.41,xjohnson,Asia,Successful,3,4,1,16,6,3,True
2024-09-20 19:03:52,Mary Thompson,Green,Remote File Copy,Until,Low,police,191.11.240.98,daniel67,South America,Successful,1,1,2,12,5,6,True
2024-05-11 07:31:47,Jamie Ford,Scientist,Brute Force,Attorney,High,whom,59.253.81.14,charlesjohnson,North America,Successful,3,2,2,8,3,3,True
2024-05-06 07:58:58,Tony Davis,Scientist,Brute Force,Impact,Medium,well,128.53.158.146,foxcynthia,South America,Successful,3,1,2,19,4,7,False
2024-07-11 03:57:25,Dustin Beltran,Writer,Spearphishing Attachment,Shake,Medium,loss,138.42.178.208,greensarah,Asia,Successful,3,1,3,23,7,8,True
2024-08-31 23:46:29,Anna Carpenter,Floor,Spearphishing Link,Mother,Medium,last,57.141.203.204,christina08,Europe,Failed,2,4,1,22,1,4,True
2024-03-11 22:03:45,Peggy Webster,Effect,Sudo Caching,Set,High,issue,1.142.107.214,samanthajohnson,North America,Failed,3,4,3,9,24,3,True
2024-06-20 06:43:38,Kyle Smith,Enjoy,Scheduled Task,Already,High,deep,175.218.149.81,nguyenkenneth,South America,Successful,3,3,3,10,8,10,True
2024-10-21 02:42:50,Charles Erickson,Phone,Brute Force,Participant,Low,positive,218.85.132.46,lijennifer,South America,Successful,2,3,2,11,23,12,False
2024-10-10 09:41:54,Richard Dean,Science,Command and Control Over Web Protocol,Animal,High,ahead,3.11.141.153,anthonybell,Europe,Failed,2,4,2,10,5,6,False
2024-03-24 05:16:48,Brent Boyd,Possible,Spearphishing Link,Light,High,part,158.210.85.198,brandon13,Europe,Failed,1,1,2,8,15,10,False
2024-07-23 01:39:02,William Anderson,She,Data Staged,Plant,Medium,recently,20.151.24.146,hunterrebecca,North America,Successful,2,1,3,16,26,9,False
2024-03-11 09:43:21,James Simpson,Doctor,Sudo Caching,Even,Low,able,80.249.1.95,prestonalexandria,South America,Failed,2,3,3,2,28,7,True
